NOW,Enterprise SaaS,977.9,203483067961.3303,203.48306796133028,30,100.0,30,100.0,Complete
NVDA,Semiconductors,116.58,2862367819130.9995,2862.3678191309996,30,100.0,30,100.0,Complete
OKTA,Cybersecurity,119.04,21035495280.52869,21.03549528052869,30,100.0,30,100.0,Complete
ORCL,Enterprise SaaS,150.3222,422878478703.8297,422.8784787038297,30,100.0,30,100.0,Complete
PANW,Cybersecurity,186.475,124613835598.18433,124.61383559818432,30,100.0,30,100.0,Complete
PCOR,Vertical SaaS,65.535,9951079910.984488,9.951079910984488,30,100.0,30,100.0,Complete
PDD,eCommerce,109.54,152996898298.0,152.996898298,30,100.0,30,100.0,Complete
PINS,Consumer Internet,29.2769,20855046164.752087,20.855046164752086,30,100.0,30,100.0,Complete
PLTR,IT Services / Legacy Tech,115.7099,276846500032.3869,276.8465000323869,30,100.0,30,100.0,Complete
PSTG,Hardware / Devices,48.6225,16255734268.981422,16.255734268981424,30,100.0,30,100.0,Complete
PUBM,AdTech,11.03,574888888.5627272,0.5748888885627272,30,100.0,30,100.0,Complete
PYPL,Fintech,70.2,69263791943.58966,69.26379194358967,30,100.0,30,100.0,Complete
QCOM,Semiconductors,145.66,160970100771.42184,160.97010077142184,30,100.0,30,100.0,Complete
SAP,Enterprise SaaS,293.95,306718478868.0,306.718478868,30,100.0,30,100.0,Complete
S,Cybersecurity,19.165,6444666565.321093,6.444666565321093,30,100.0,30,100.0,Complete
SE,eCommerce,139.27,85904317030.0,85.90431703,30,100.0,30,100.0,Complete
SHOP,eCommerce,91.365,120897407676.7698,120.8974076767698,30,100.0,30,100.0,Complete
SMCI,Hardware / Devices,31.76,19443336300.51385,19.443336300513852,30,100.0,30,100.0,Complete
SNAP,Consumer Internet,8.275,14263505734.52737,14.26350573452737,30,100.0,30,100.0,Complete
SNOW,Cloud Infrastructure,173.04,58410704477.26678,58.410704477266776,30,100.0,30,100.0,Complete
SPOT,Consumer Internet,650.325,132385875895.60222,132.38587589560223,30,100.0,30,100.0,Complete
SSNC,Vertical SaaS,77.77,19099068170.28581,19.099068170285808,30,100.0,30,100.0,Complete
SSYS,Hardware / Devices,11.025,808629970.7978438,0.8086299707978438,30,100.0,30,100.0,Complete
STX,Hardware / Devices,96.25,20640271616.985046,20.640271616985046,30,100.0,30,100.0,Complete
TEAM,Dev Tools / Analytics,206.97,54814530104.0,54.814530104,30,100.0,30,100.0,Complete
TRIP,Consumer Internet,15.135,1972543907.6606424,1.9725439076606424,30,100.0,30,100.0,Complete
TSM,Semiconductors,177.225,23806250156250.0,23806.25015625,30,100.0,30,100.0,Complete
TTAN,Vertical SaaS,120.02,10680173175.268856,10.680173175268855,30,100.0,30,100.0,Complete
TTD,AdTech,70.28,36730397237.02838,36.730397237028384,30,100.0,30,100.0,Complete
WDAY,Enterprise SaaS,258.54,69146266854.80656,69.14626685480657,30,100.0,30,100.0,Complete
WDC,Hardware / Devices,44.05,15622773921.093456,15.622773921093456,30,100.0,30,100.0,Complete
WIT,IT Services / Legacy Tech,2.815,2524297229004.0,2524.297229004,30,100.0,30,100.0,Complete
WMT,eCommerce,96.982,773765804215.8916,773.7658042158916,30,100.0,30,100.0,Complete
XYZ,Fintech,50.32,31004669696.21652,31.004669696216517,30,100.0,30,100.0,Complete
YELP,Consumer Internet,39.29,2519139252.0201454,2.519139252020145,30,100.0,30,100.0,Complete
ZS,Cybersecurity,231.8,36074109326.0,36.074109326,30,100.0,30,100.0,Complete
