realtime_start,realtime_end,date,value,year_ago_value,yoy_growth
2025-04-22,2025-04-22,2020-08-03,69.64,,
2025-04-22,2025-04-22,2020-08-04,69.74,,
2025-04-22,2025-04-22,2020-08-05,69.78,,
2025-04-22,2025-04-22,2020-08-06,69.84,,
2025-04-22,2025-04-22,2020-08-07,69.7,,
2025-04-22,2025-04-22,2020-08-08,69.64,,
2025-04-22,2025-04-22,2020-08-09,69.73,,
2025-04-22,2025-04-22,2020-08-10,69.83,,
2025-04-22,2025-04-22,2020-08-11,69.99,,
2025-04-22,2025-04-22,2020-08-12,70.02,,
2025-04-22,2025-04-22,2020-08-13,70.12,,
2025-04-22,2025-04-22,2020-08-14,70.36,,
2025-04-22,2025-04-22,2020-08-15,70.14,,
2025-04-22,2025-04-22,2020-08-16,70.15,,
2025-04-22,2025-04-22,2020-08-17,70.16,,
2025-04-22,2025-04-22,2020-08-18,70.26,,
2025-04-22,2025-04-22,2020-08-19,70.39,,
2025-04-22,2025-04-22,2020-08-20,70.45,,
2025-04-22,2025-04-22,2020-08-21,70.51,,
2025-04-22,2025-04-22,2020-08-22,70.79,,
2025-04-22,2025-04-22,2020-08-23,70.88,,
2025-04-22,2025-04-22,2020-08-24,70.91,,
2025-04-22,2025-04-22,2020-08-25,70.84,,
2025-04-22,2025-04-22,2020-08-26,70.93,,
2025-04-22,2025-04-22,2020-08-27,71.05,,
2025-04-22,2025-04-22,2020-08-28,71.17,,
2025-04-22,2025-04-22,2020-08-29,71.27,,
2025-04-22,2025-04-22,2020-08-30,71.32,,
2025-04-22,2025-04-22,2020-08-31,71.42,,
2025-04-22,2025-04-22,2020-09-01,71.53,,
2025-04-22,2025-04-22,2020-09-02,71.73,,
2025-04-22,2025-04-22,2020-09-03,71.89,,
2025-04-22,2025-04-22,2020-09-04,72.13,,
2025-04-22,2025-04-22,2020-09-05,72.35,,
2025-04-22,2025-04-22,2020-09-06,72.59,,
2025-04-22,2025-04-22,2020-09-07,72.82,,
2025-04-22,2025-04-22,2020-09-08,73.02,,
2025-04-22,2025-04-22,2020-09-09,73.07,,
2025-04-22,2025-04-22,2020-09-10,73.19,,
2025-04-22,2025-04-22,2020-09-11,73.26,,
2025-04-22,2025-04-22,2020-09-12,73.37,,
2025-04-22,2025-04-22,2020-09-13,73.41,,
2025-04-22,2025-04-22,2020-09-14,73.39,,
2025-04-22,2025-04-22,2020-09-15,73.43,,
2025-04-22,2025-04-22,2020-09-16,73.56,,
2025-04-22,2025-04-22,2020-09-17,73.71,,
2025-04-22,2025-04-22,2020-09-18,73.73,,
2025-04-22,2025-04-22,2020-09-19,73.76,,
2025-04-22,2025-04-22,2020-09-20,73.87,,
2025-04-22,2025-04-22,2020-09-21,73.91,,
2025-04-22,2025-04-22,2020-09-22,73.95,,
2025-04-22,2025-04-22,2020-09-23,73.9,,
2025-04-22,2025-04-22,2020-09-24,73.87,,
2025-04-22,2025-04-22,2020-09-25,73.99,,
2025-04-22,2025-04-22,2020-09-26,74.06,,
2025-04-22,2025-04-22,2020-09-27,74.13,,
2025-04-22,2025-04-22,2020-09-28,74.37,,
2025-04-22,2025-04-22,2020-09-29,74.59,,
2025-04-22,2025-04-22,2020-09-30,74.93,,
2025-04-22,2025-04-22,2020-10-01,75.18,,
2025-04-22,2025-04-22,2020-10-02,75.41,,
2025-04-22,2025-04-22,2020-10-03,75.72,,
2025-04-22,2025-04-22,2020-10-04,76.03,,
2025-04-22,2025-04-22,2020-10-05,76.21,,
2025-04-22,2025-04-22,2020-10-06,76.38,,
2025-04-22,2025-04-22,2020-10-07,76.49,,
2025-04-22,2025-04-22,2020-10-08,76.66,,
2025-04-22,2025-04-22,2020-10-09,76.82,,
2025-04-22,2025-04-22,2020-10-10,76.85,,
2025-04-22,2025-04-22,2020-10-11,76.96,,
2025-04-22,2025-04-22,2020-10-12,77.14,,
2025-04-22,2025-04-22,2020-10-13,77.29,,
2025-04-22,2025-04-22,2020-10-14,77.49,,
2025-04-22,2025-04-22,2020-10-15,77.78,,
2025-04-22,2025-04-22,2020-10-16,77.82,,
2025-04-22,2025-04-22,2020-10-17,78.0,,
2025-04-22,2025-04-22,2020-10-18,78.12,,
2025-04-22,2025-04-22,2020-10-19,78.38,,
2025-04-22,2025-04-22,2020-10-20,78.71,,
2025-04-22,2025-04-22,2020-10-21,79.0,,
2025-04-22,2025-04-22,2020-10-22,79.12,,
2025-04-22,2025-04-22,2020-10-23,79.39,,
2025-04-22,2025-04-22,2020-10-24,79.64,,
2025-04-22,2025-04-22,2020-10-25,79.84,,
2025-04-22,2025-04-22,2020-10-26,79.88,,
2025-04-22,2025-04-22,2020-10-27,79.96,,
2025-04-22,2025-04-22,2020-10-28,80.06,,
2025-04-22,2025-04-22,2020-10-29,80.13,,
2025-04-22,2025-04-22,2020-10-30,80.13,,
2025-04-22,2025-04-22,2020-10-31,80.23,,
2025-04-22,2025-04-22,2020-11-01,80.45,,
2025-04-22,2025-04-22,2020-11-02,80.77,,
2025-04-22,2025-04-22,2020-11-03,81.04,,
2025-04-22,2025-04-22,2020-11-04,81.29,,
2025-04-22,2025-04-22,2020-11-05,81.63,,
2025-04-22,2025-04-22,2020-11-06,82.07,,
2025-04-22,2025-04-22,2020-11-07,82.37,,
2025-04-22,2025-04-22,2020-11-08,82.63,,
2025-04-22,2025-04-22,2020-11-09,82.75,,
2025-04-22,2025-04-22,2020-11-10,82.98,,
2025-04-22,2025-04-22,2020-11-11,83.12,,
2025-04-22,2025-04-22,2020-11-12,83.3,,
2025-04-22,2025-04-22,2020-11-13,83.49,,
2025-04-22,2025-04-22,2020-11-14,83.64,,
2025-04-22,2025-04-22,2020-11-15,83.98,,
2025-04-22,2025-04-22,2020-11-16,84.45,,
2025-04-22,2025-04-22,2020-11-17,84.79,,
2025-04-22,2025-04-22,2020-11-18,85.32,,
2025-04-22,2025-04-22,2020-11-19,85.79,,
2025-04-22,2025-04-22,2020-11-20,86.22,,
2025-04-22,2025-04-22,2020-11-21,86.68,,
2025-04-22,2025-04-22,2020-11-22,86.92,,
2025-04-22,2025-04-22,2020-11-23,87.18,,
2025-04-22,2025-04-22,2020-11-24,87.44,,
2025-04-22,2025-04-22,2020-11-25,87.58,,
2025-04-22,2025-04-22,2020-11-26,87.74,,
2025-04-22,2025-04-22,2020-11-27,87.85,,
2025-04-22,2025-04-22,2020-11-28,88.02,,
2025-04-22,2025-04-22,2020-11-29,88.22,,
2025-04-22,2025-04-22,2020-11-30,88.38,,
2025-04-22,2025-04-22,2020-12-01,88.34,,
2025-04-22,2025-04-22,2020-12-02,88.53,,
2025-04-22,2025-04-22,2020-12-03,88.75,,
2025-04-22,2025-04-22,2020-12-04,89.13,,
2025-04-22,2025-04-22,2020-12-05,89.46,,
2025-04-22,2025-04-22,2020-12-06,89.63,,
2025-04-22,2025-04-22,2020-12-07,89.76,,
2025-04-22,2025-04-22,2020-12-08,90.15,,
2025-04-22,2025-04-22,2020-12-09,90.36,,
2025-04-22,2025-04-22,2020-12-10,90.41,,
2025-04-22,2025-04-22,2020-12-11,90.55,,
2025-04-22,2025-04-22,2020-12-12,90.46,,
2025-04-22,2025-04-22,2020-12-13,90.68,,
2025-04-22,2025-04-22,2020-12-14,90.95,,
2025-04-22,2025-04-22,2020-12-15,91.1,,
2025-04-22,2025-04-22,2020-12-16,91.19,,
2025-04-22,2025-04-22,2020-12-17,91.3,,
2025-04-22,2025-04-22,2020-12-18,91.29,,
2025-04-22,2025-04-22,2020-12-19,91.53,,
2025-04-22,2025-04-22,2020-12-20,91.57,,
2025-04-22,2025-04-22,2020-12-21,91.56,,
2025-04-22,2025-04-22,2020-12-22,91.66,,
2025-04-22,2025-04-22,2020-12-23,91.72,,
2025-04-22,2025-04-22,2020-12-24,91.85,,
2025-04-22,2025-04-22,2020-12-25,91.91,,
2025-04-22,2025-04-22,2020-12-26,92.01,,
2025-04-22,2025-04-22,2020-12-27,92.08,,
2025-04-22,2025-04-22,2020-12-28,92.18,,
2025-04-22,2025-04-22,2020-12-29,92.27,,
2025-04-22,2025-04-22,2020-12-30,92.34,,
2025-04-22,2025-04-22,2020-12-31,92.39,,
2025-04-22,2025-04-22,2021-01-01,92.37,,
2025-04-22,2025-04-22,2021-01-02,92.31,,
2025-04-22,2025-04-22,2021-01-03,92.22,,
2025-04-22,2025-04-22,2021-01-04,91.98,,
2025-04-22,2025-04-22,2021-01-05,91.71,,
2025-04-22,2025-04-22,2021-01-06,91.66,,
2025-04-22,2025-04-22,2021-01-07,91.72,,
2025-04-22,2025-04-22,2021-01-08,91.98,,
2025-04-22,2025-04-22,2021-01-09,92.03,,
2025-04-22,2025-04-22,2021-01-10,92.31,,
2025-04-22,2025-04-22,2021-01-11,92.73,,
2025-04-22,2025-04-22,2021-01-12,93.24,,
2025-04-22,2025-04-22,2021-01-13,93.62,,
2025-04-22,2025-04-22,2021-01-14,93.94,,
2025-04-22,2025-04-22,2021-01-15,94.3,,
2025-04-22,2025-04-22,2021-01-16,94.93,,
2025-04-22,2025-04-22,2021-01-17,95.34,,
2025-04-22,2025-04-22,2021-01-18,95.64,,
2025-04-22,2025-04-22,2021-01-19,95.89,,
2025-04-22,2025-04-22,2021-01-20,96.04,,
2025-04-22,2025-04-22,2021-01-21,96.16,,
2025-04-22,2025-04-22,2021-01-22,96.21,,
2025-04-22,2025-04-22,2021-01-23,95.86,,
2025-04-22,2025-04-22,2021-01-24,95.95,,
2025-04-22,2025-04-22,2021-01-25,96.11,,
2025-04-22,2025-04-22,2021-01-26,96.3,,
2025-04-22,2025-04-22,2021-01-27,96.59,,
2025-04-22,2025-04-22,2021-01-28,96.97,,
2025-04-22,2025-04-22,2021-01-29,97.36,,
2025-04-22,2025-04-22,2021-01-30,97.97,,
2025-04-22,2025-04-22,2021-01-31,98.3,,
2025-04-22,2025-04-22,2021-02-01,98.67,,
2025-04-22,2025-04-22,2021-02-02,99.02,,
2025-04-22,2025-04-22,2021-02-03,99.3,,
2025-04-22,2025-04-22,2021-02-04,99.49,,
2025-04-22,2025-04-22,2021-02-05,99.81,,
2025-04-22,2025-04-22,2021-02-06,100.11,,
2025-04-22,2025-04-22,2021-02-07,100.46,,
2025-04-22,2025-04-22,2021-02-08,100.75,,
2025-04-22,2025-04-22,2021-02-09,101.0,,
2025-04-22,2025-04-22,2021-02-10,101.33,,
2025-04-22,2025-04-22,2021-02-11,101.77,,
2025-04-22,2025-04-22,2021-02-12,102.1,,
2025-04-22,2025-04-22,2021-02-13,102.6,,
2025-04-22,2025-04-22,2021-02-14,102.93,,
2025-04-22,2025-04-22,2021-02-15,103.28,,
2025-04-22,2025-04-22,2021-02-16,103.65,,
2025-04-22,2025-04-22,2021-02-17,104.04,,
2025-04-22,2025-04-22,2021-02-18,104.31,,
2025-04-22,2025-04-22,2021-02-19,104.59,,
2025-04-22,2025-04-22,2021-02-20,104.58,,
2025-04-22,2025-04-22,2021-02-21,104.85,,
2025-04-22,2025-04-22,2021-02-22,105.22,,
2025-04-22,2025-04-22,2021-02-23,105.57,,
2025-04-22,2025-04-22,2021-02-24,105.97,,
2025-04-22,2025-04-22,2021-02-25,106.39,,
2025-04-22,2025-04-22,2021-02-26,106.79,,
2025-04-22,2025-04-22,2021-02-27,107.35,,
2025-04-22,2025-04-22,2021-02-28,107.71,,
2025-04-22,2025-04-22,2021-03-01,107.93,,
2025-04-22,2025-04-22,2021-03-02,108.21,,
2025-04-22,2025-04-22,2021-03-03,108.41,,
2025-04-22,2025-04-22,2021-03-04,108.61,,
2025-04-22,2025-04-22,2021-03-05,108.8,,
2025-04-22,2025-04-22,2021-03-06,108.71,,
2025-04-22,2025-04-22,2021-03-07,108.95,,
2025-04-22,2025-04-22,2021-03-08,109.3,,
2025-04-22,2025-04-22,2021-03-09,109.63,,
2025-04-22,2025-04-22,2021-03-10,109.95,,
2025-04-22,2025-04-22,2021-03-11,110.27,,
2025-04-22,2025-04-22,2021-03-12,110.61,,
2025-04-22,2025-04-22,2021-03-13,111.37,,
2025-04-22,2025-04-22,2021-03-14,111.7,,
2025-04-22,2025-04-22,2021-03-15,111.95,,
2025-04-22,2025-04-22,2021-03-16,112.26,,
2025-04-22,2025-04-22,2021-03-17,112.57,,
2025-04-22,2025-04-22,2021-03-18,112.99,,
2025-04-22,2025-04-22,2021-03-19,113.44,,
2025-04-22,2025-04-22,2021-03-20,113.82,,
2025-04-22,2025-04-22,2021-03-21,114.29,,
2025-04-22,2025-04-22,2021-03-22,114.75,,
2025-04-22,2025-04-22,2021-03-23,115.15,,
2025-04-22,2025-04-22,2021-03-24,115.61,,
2025-04-22,2025-04-22,2021-03-25,115.9,,
2025-04-22,2025-04-22,2021-03-26,116.12,,
2025-04-22,2025-04-22,2021-03-27,116.39,,
2025-04-22,2025-04-22,2021-03-28,116.56,,
2025-04-22,2025-04-22,2021-03-29,116.75,,
2025-04-22,2025-04-22,2021-03-30,116.92,,
2025-04-22,2025-04-22,2021-03-31,117.03,,
2025-04-22,2025-04-22,2021-04-01,117.23,,
2025-04-22,2025-04-22,2021-04-02,117.45,,
2025-04-22,2025-04-22,2021-04-03,117.62,,
2025-04-22,2025-04-22,2021-04-04,117.9,,
2025-04-22,2025-04-22,2021-04-05,118.25,,
2025-04-22,2025-04-22,2021-04-06,118.53,,
2025-04-22,2025-04-22,2021-04-07,118.82,,
2025-04-22,2025-04-22,2021-04-08,119.07,,
2025-04-22,2025-04-22,2021-04-09,119.38,,
2025-04-22,2025-04-22,2021-04-10,119.35,,
2025-04-22,2025-04-22,2021-04-11,119.39,,
2025-04-22,2025-04-22,2021-04-12,119.43,,
2025-04-22,2025-04-22,2021-04-13,119.55,,
2025-04-22,2025-04-22,2021-04-14,119.73,,
2025-04-22,2025-04-22,2021-04-15,119.89,,
2025-04-22,2025-04-22,2021-04-16,120.03,,
2025-04-22,2025-04-22,2021-04-17,120.62,,
2025-04-22,2025-04-22,2021-04-18,121.1,,
2025-04-22,2025-04-22,2021-04-19,121.52,,
2025-04-22,2025-04-22,2021-04-20,121.95,,
2025-04-22,2025-04-22,2021-04-21,122.36,,
2025-04-22,2025-04-22,2021-04-22,122.8,,
2025-04-22,2025-04-22,2021-04-23,123.24,73.11,68.56791136643413
2025-04-22,2025-04-22,2021-04-24,123.66,72.76,69.956019791094
2025-04-22,2025-04-22,2021-04-25,123.9,72.35,71.25086385625434
2025-04-22,2025-04-22,2021-04-26,124.16,72.04,72.34869516935034
2025-04-22,2025-04-22,2021-04-27,124.44,71.62,73.7503490645071
2025-04-22,2025-04-22,2021-04-28,124.75,71.14,75.35844813044702
2025-04-22,2025-04-22,2021-04-29,125.27,70.67,77.2605065798783
2025-04-22,2025-04-22,2021-04-30,125.74,70.19,79.14232796694685
2025-04-22,2025-04-22,2021-05-01,126.1,69.75,80.78853046594982
2025-04-22,2025-04-22,2021-05-02,126.65,69.37,82.57171688049588
2025-04-22,2025-04-22,2021-05-03,127.19,68.94,84.49376269219611
2025-04-22,2025-04-22,2021-05-04,127.74,68.53,86.40011673719538
2025-04-22,2025-04-22,2021-05-05,128.24,68.17,88.11794044301013
2025-04-22,2025-04-22,2021-05-06,128.6,67.96,89.2289582107122
2025-04-22,2025-04-22,2021-05-07,128.94,67.72,90.40165386887182
2025-04-22,2025-04-22,2021-05-08,129.38,67.47,91.75930042982066
