realtime_start,realtime_end,date,value,pct_change
2025-05-12,2025-05-12,2020-09-03,11458.1,-4.962824847135638
2025-05-12,2025-05-12,2020-09-04,11313.13,-1.26521849172202
2025-05-12,2025-05-12,2020-09-08,10847.69,-4.114157620393288
2025-05-12,2025-05-12,2020-09-09,11141.56,2.70905602944036
2025-05-12,2025-05-12,2020-09-10,10919.59,-1.9922703822444876
2025-05-12,2025-05-12,2020-09-11,10853.55,-0.6047846118764633
2025-05-12,2025-05-12,2020-09-14,11056.65,1.8712771397376926
2025-05-12,2025-05-12,2020-09-15,11190.32,1.2089556963456483
2025-05-12,2025-05-12,2020-09-16,11050.47,-1.249740847446723
2025-05-12,2025-05-12,2020-09-17,10910.28,-1.2686338228147687
2025-05-12,2025-05-12,2020-09-18,10793.28,-1.072383110240982
2025-05-12,2025-05-12,2020-09-21,10778.8,-0.1341575498829073
2025-05-12,2025-05-12,2020-09-22,10963.64,1.7148476639329058
2025-05-12,2025-05-12,2020-09-23,10632.99,-3.015877938348943
2025-05-12,2025-05-12,2020-09-24,10672.27,0.36941631657700924
2025-05-12,2025-05-12,2020-09-25,10913.56,2.2609060677812653
2025-05-12,2025-05-12,2020-09-28,11117.52,1.8688677205238369
2025-05-12,2025-05-12,2020-09-29,11085.25,-0.2902625765458522
2025-05-12,2025-05-12,2020-09-30,11167.51,0.7420671613179719
2025-05-12,2025-05-12,2020-10-01,11326.51,1.4237730702725937
2025-05-12,2025-05-12,2020-10-02,11075.02,-2.220366202828583
2025-05-12,2025-05-12,2020-10-05,11332.49,2.3247813547966345
2025-05-12,2025-05-12,2020-10-06,11154.6,-1.5697344537696445
2025-05-12,2025-05-12,2020-10-07,11364.6,1.8826313807756456
2025-05-12,2025-05-12,2020-10-08,11420.98,0.4961019305562919
2025-05-12,2025-05-12,2020-10-09,11579.94,1.391824519437046
2025-05-12,2025-05-12,2020-10-12,11876.26,2.55890790453146
2025-05-12,2025-05-12,2020-10-13,11863.9,-0.10407316781546605
2025-05-12,2025-05-12,2020-10-14,11768.73,-0.8021814074629763
2025-05-12,2025-05-12,2020-10-15,11713.87,-0.4661505532032706
2025-05-12,2025-05-12,2020-10-16,11671.56,-0.36119574487339934
2025-05-12,2025-05-12,2020-10-19,11478.88,-1.6508504432997895
2025-05-12,2025-05-12,2020-10-20,11516.49,0.3276452058040613
2025-05-12,2025-05-12,2020-10-21,11484.69,-0.2761257987459631
2025-05-12,2025-05-12,2020-10-22,11506.01,0.18563844561760856
2025-05-12,2025-05-12,2020-10-23,11548.28,0.3673732249493966
2025-05-12,2025-05-12,2020-10-26,11358.94,-1.6395515176286013
2025-05-12,2025-05-12,2020-10-27,11431.35,0.6374714542025872
2025-05-12,2025-05-12,2020-10-28,11004.87,-3.7307929509637905
2025-05-12,2025-05-12,2020-10-29,11185.59,1.6421820521278274
2025-05-12,2025-05-12,2020-10-30,10911.59,-2.4495802188351234
2025-05-12,2025-05-12,2020-11-02,10957.61,0.4217533833291043
2025-05-12,2025-05-12,2020-11-03,11160.57,1.8522287250595681
2025-05-12,2025-05-12,2020-11-04,11590.78,3.854731433967995
2025-05-12,2025-05-12,2020-11-05,11890.93,2.5895582523350447
2025-05-12,2025-05-12,2020-11-06,11895.23,0.03616201592304691
2025-05-12,2025-05-12,2020-11-09,11713.78,-1.5254013583596016
2025-05-12,2025-05-12,2020-11-10,11553.86,-1.3652296696711086
2025-05-12,2025-05-12,2020-11-11,11786.43,2.0129203573524324
2025-05-12,2025-05-12,2020-11-12,11709.59,-0.6519361672703283
2025-05-12,2025-05-12,2020-11-13,11829.29,1.0222390365503875
2025-05-12,2025-05-12,2020-11-16,11924.13,0.8017387349536387
2025-05-12,2025-05-12,2020-11-17,11899.34,-0.20789776696495954
2025-05-12,2025-05-12,2020-11-18,11801.6,-0.8213900939043617
2025-05-12,2025-05-12,2020-11-19,11904.71,0.8736950921908848
2025-05-12,2025-05-12,2020-11-20,11854.97,-0.41781782168569537
2025-05-12,2025-05-12,2020-11-23,11881.17,0.2210043551354568
2025-05-12,2025-05-12,2020-11-24,12037.33,1.314348671048382
2025-05-12,2025-05-12,2020-11-25,12094.4,0.4741084609294566
2025-05-12,2025-05-12,2020-11-27,12205.85,0.9215008599021024
2025-05-12,2025-05-12,2020-11-30,12198.74,-0.05825075680924163
2025-05-12,2025-05-12,2020-12-01,12355.11,1.2818536996443974
2025-05-12,2025-05-12,2020-12-02,12349.37,-0.046458509879721
2025-05-12,2025-05-12,2020-12-03,12377.18,0.2251936738473237
2025-05-12,2025-05-12,2020-12-04,12464.23,0.7033104471293017
2025-05-12,2025-05-12,2020-12-07,12519.95,0.44703924751068325
2025-05-12,2025-05-12,2020-12-08,12582.77,0.5017591923290432
2025-05-12,2025-05-12,2020-12-09,12338.95,-1.937729132774424
2025-05-12,2025-05-12,2020-12-10,12405.81,0.5418613415241857
2025-05-12,2025-05-12,2020-12-11,12377.87,-0.22521705555702543
2025-05-12,2025-05-12,2020-12-14,12440.04,0.5022673529452071
2025-05-12,2025-05-12,2020-12-15,12595.06,1.2461374722267715
