realtime_start,realtime_end,date,value,yoy_change
2025-04-30,2025-04-30,2020-05-01,77.79073000000001,
2025-04-30,2025-04-30,2020-06-01,84.0312,
2025-04-30,2025-04-30,2020-07-01,78.00591999999999,
2025-04-30,2025-04-30,2020-08-01,79.72742,
2025-04-30,2025-04-30,2020-09-01,86.50587,
2025-04-30,2025-04-30,2020-10-01,88.01219,
2025-04-30,2025-04-30,2020-11-01,82.74006999999999,
2025-04-30,2025-04-30,2020-12-01,86.82866,
2025-04-30,2025-04-30,2021-01-01,84.99955,
2025-04-30,2025-04-30,2021-02-01,82.63248,
2025-04-30,2025-04-30,2021-03-01,91.34762,
2025-04-30,2025-04-30,2021-04-01,95.00583,
2025-04-30,2025-04-30,2021-05-01,89.19573000000001,14.6611299315484
2025-04-30,2025-04-30,2021-06-01,91.99319,9.475040223155219
2025-04-30,2025-04-30,2021-07-01,87.36663,11.999999487218416
2025-04-30,2025-04-30,2021-08-01,75.63884,-5.128198052815447
2025-04-30,2025-04-30,2021-09-01,78.3287,-9.452734247976469
2025-04-30,2025-04-30,2021-10-01,77.14516,-12.347187361205304
2025-04-30,2025-04-30,2021-11-01,72.51861,-12.353699966654608
2025-04-30,2025-04-30,2021-12-01,75.96162,-12.51549891475926
2025-04-30,2025-04-30,2022-01-01,72.30341,-14.936714370840786
2025-04-30,2025-04-30,2022-02-01,67.56926999999999,-18.22916364122197
2025-04-30,2025-04-30,2022-03-01,63.91106,-30.035330969761453
2025-04-30,2025-04-30,2022-04-01,70.15153000000001,-26.160815604684462
2025-04-30,2025-04-30,2022-05-01,62.83511,-29.5536793072942
2025-04-30,2025-04-30,2022-06-01,53.79718,-41.52047559172587
2025-04-30,2025-04-30,2022-07-01,55.4111,-36.57635644181308
2025-04-30,2025-04-30,2022-08-01,62.61991999999999,-17.21195089718458
2025-04-30,2025-04-30,2022-09-01,63.0503,-19.50549415476064
2025-04-30,2025-04-30,2022-10-01,64.44903000000001,-16.45745501078745
2025-04-30,2025-04-30,2022-11-01,61.00601,-15.875373231781465
2025-04-30,2025-04-30,2022-12-01,64.34143,-15.297448895902955
2025-04-30,2025-04-30,2023-01-01,69.82874,-3.422618656575127
2025-04-30,2025-04-30,2023-02-01,71.98064000000001,6.528663103804466
2025-04-30,2025-04-30,2023-03-01,66.70851,4.377098423966053
2025-04-30,2025-04-30,2023-04-01,68.53761,-2.300619815419569
2025-04-30,2025-04-30,2023-05-01,63.48068000000001,1.0274033100284408
2025-04-30,2025-04-30,2023-06-01,69.07558,28.400001635773474
2025-04-30,2025-04-30,2023-07-01,76.92998,38.834962669934384
2025-04-30,2025-04-30,2023-08-01,74.67049,19.24398817500885
2025-04-30,2025-04-30,2023-09-01,72.94898,15.699655671741453
2025-04-30,2025-04-30,2023-10-01,68.64520999999999,6.510850512412647
2025-04-30,2025-04-30,2023-11-01,65.95535,8.112872813678518
2025-04-30,2025-04-30,2023-12-01,74.99328,16.55519623981001
2025-04-30,2025-04-30,2024-01-01,84.99955,21.7257392872906
2025-04-30,2025-04-30,2024-02-01,82.74006999999999,14.94767204070424
2025-04-30,2025-04-30,2024-03-01,85.42993,28.064515306967564
2025-04-30,2025-04-30,2024-04-01,83.06285,21.193093835632727
2025-04-30,2025-04-30,2024-05-01,74.34770999999999,17.11864145122577
2025-04-30,2025-04-30,2024-06-01,73.37935999999999,6.230537622702537
2025-04-30,2025-04-30,2024-07-01,71.44266,-7.132875895717117
2025-04-30,2025-04-30,2024-08-01,73.05658000000001,-2.161375933116272
2025-04-30,2025-04-30,2024-09-01,75.42365,3.392329817360018
2025-04-30,2025-04-30,2024-10-01,75.85403000000001,10.50156303695482
2025-04-30,2025-04-30,2024-11-01,77.25275,17.128860661038136
2025-04-30,2025-04-30,2024-12-01,79.61983000000001,6.169286101368021
2025-04-30,2025-04-30,2025-01-01,77.14516,-9.240507743864523
2025-04-30,2025-04-30,2025-02-01,69.61355999999999,-15.864755734434354
2025-04-30,2025-04-30,2025-03-01,61.328790000000005,-28.211588140128395
