date,value,vix_ema14
2025-05-06,24.760000228881836,24.93572170360682
2025-05-05,23.639999389648438,24.96275577664143
2025-05-02,22.68000030517578,25.166256759255738
2025-05-02,22.68000030517578,25.548757752191115
2025-05-01,24.600000381469727,25.990105051731934
2025-05-01,24.600000381469727,26.20396730869535
2025-04-30,24.700000762939453,26.450731451345447
2025-04-30,24.700000762939453,26.720074634177138
2025-04-29,24.170000076293945,27.030855229752166
2025-04-29,24.170000076293945,27.47098679182266
2025-04-28,25.14999961853028,27.978830901904
2025-04-28,25.149999618530273,28.414035714730726
2025-04-25,24.84000015258789,29.543302031308993
2025-04-25,24.84000015258789,28.91619511414618
2025-04-24,26.469999313354492,30.266886935727623
2025-04-24,26.46999931335449,30.851023493015795
2025-04-23,28.450000762939453,31.52502721296369
2025-04-23,28.450000762939453,31.99810820527511
2025-04-22,30.56999969482422,32.543970888711364
2025-04-22,30.56999969482422,32.847658764694
2025-04-21,33.81999969482422,33.19806785236628
2025-04-21,33.81999969482422,33.10238603044967
2025-04-17,29.64999961853028,32.991983928238206
2025-04-17,29.649999618530273,33.50613536050096
2025-04-16,32.63999938964844,34.09938701311184
2025-04-16,32.63999938964844,34.32390818595236
2025-04-15,30.1200008392334,34.582971077691425
2025-04-15,30.1200008392334,35.26958188360804
2025-04-14,30.889999389648438,36.06182512120414
2025-04-14,30.88999938964844,36.857490618366555
2025-04-11,37.560001373291016,37.775566192015496
2025-04-11,37.560001373291016,37.808730010280804
2025-04-10,40.720001220703125,37.84699595443308
2025-04-10,40.720001220703125,37.404995144237695
2025-04-09,33.619998931884766,36.894994209396856
2025-04-09,33.619998931884766,37.398839636706406
2025-04-08,52.33000183105469,37.9801997451405
2025-04-08,52.33000183105469,35.77253788576909
2025-04-07,46.97999954223633,33.22523574034054
2025-04-07,46.97999954223633,31.10911823235657
2025-04-04,45.310001373291016,26.10705077105072
2025-04-04,45.310001373291016,28.667444184682758
2025-04-03,30.020000457763672,23.152750678398366
2025-04-03,30.020000457763672,22.096250712342165
2025-04-02,21.510000228881836,20.877212289969627
2025-04-02,21.51000022888184,20.779860299367748
2025-04-01,21.770000457763672,20.667531079442504
2025-04-01,21.770000457763672,20.497920405854632
2025-03-31,22.280000686645508,20.30221578248401
2025-03-31,22.280000686645508,19.99794118184378
2025-03-28,21.64999961853028,19.646855104181974
2025-03-28,21.649999618530273,19.338679025051462
2025-03-27,18.690000534057617,18.98309124143934
2025-03-27,18.690000534057617,19.028182119498062
2025-03-26,18.329999923706055,19.080210055719665
2025-03-26,18.32999992370605,19.195626999106373
2025-03-25,17.149999618530273,19.328800395321807
2025-03-25,17.149999618530273,19.664000514828196
2025-03-24,17.479999542236328,20.050769883489412
2025-03-24,17.479999542236328,20.446273012912965
2025-03-21,19.280000686645508,20.902622777632445
2025-03-21,19.280000686645508,21.152256945476587
2025-03-20,19.799999237060547,21.44029636991214
2025-03-20,19.799999237060547,21.692649774966227
2025-03-19,19.89999961853028,21.983826780797873
2025-03-19,19.899999618530273,22.304415574992888
2025-03-18,21.700000762939453,22.67432572214098
2025-03-18,21.700000762939453,22.824221869710446
2025-03-17,20.51000022888184,23.379821845241057
2025-03-17,20.510000228881836,22.997178963059827
2025-03-14,21.770000457763672,24.13692246396998
2025-03-14,21.770000457763672,23.821332863142477
2025-03-13,24.65999984741211,24.50106431107864
2025-03-13,24.65999984741211,24.476612690104258
2025-03-12,24.229999542236328,24.448399281287664
2025-03-12,24.229999542236328,24.481999241141715
2025-03-11,26.920000076293945,24.520768425588695
2025-03-11,26.920000076293945,24.151655863941734
2025-03-10,27.86000061035156,23.725756754349085
2025-03-10,27.860000610351562,23.089719238041013
2025-03-07,23.3700008392334,22.355829796147084
2025-03-07,23.3700008392334,22.199803481826113
2025-03-06,24.8700008392334,22.019773119148066
2025-03-06,24.8700008392334,21.581276546827247
2025-03-05,21.93000030517578,20.94382952618082
2025-03-05,21.93000030517578,21.07531896338015
2025-03-04,23.510000228881836,20.79211094479698
2025-03-04,23.51000022888184,20.373974131860848
2025-03-03,22.780000686645508,19.891508578473005
2025-03-03,22.780000686645508,19.447125177215696
2025-02-28,19.6299991607666,18.93437509884188
2025-02-28,19.6299991607666,18.82735601239192
2025-02-27,21.1299991607666,18.703872451103507
2025-02-27,21.1299991607666,18.330622188078415
2025-02-26,19.100000381469727,17.89994880766485
2025-02-26,19.100000381469727,17.715325488617943
2025-02-25,19.43000030517578,17.20572908615606
2025-02-25,19.43000030517578,17.502298582025357
2025-02-24,18.979999542236328,16.537923355808854
2025-02-24,18.979999542236328,16.863533513999183
2025-02-21,18.209999084472656,16.1622193271277
2025-02-21,18.209999084472656,15.84717628753617
2025-02-20,15.65999984741211,15.483665088007479
2025-02-20,15.65999984741211,15.45653666348369
2025-02-19,15.270000457763672,15.42523463518701
2025-02-19,15.270000457763672,15.449116816329063
2025-02-18,15.350000381469728,15.476673179185278
2025-02-18,15.350000381469727,15.496161301910748
2025-02-14,14.770000457763672,15.518647597363213
2025-02-14,14.770000457763672,15.633824080378528
2025-02-13,15.100000381469728,15.766720022319275
2025-02-13,15.100000381469727,15.869292274757667
2025-02-12,15.890000343322754,15.987644873725042
2025-02-12,15.890000343322754,16.002667109171547
2025-02-11,16.020000457763672,16.020000457763672
